Date Time, Prediction
2014-08-03 00:00,3.036
2014-08-03 00:06,2.897
2014-08-03 00:12,2.761
2014-08-03 00:18,2.628
2014-08-03 00:24,2.499
2014-08-03 00:30,2.373
2014-08-03 00:36,2.251
2014-08-03 00:42,2.133
2014-08-03 00:48,2.019
2014-08-03 00:54,1.909
2014-08-03 01:00,1.803
2014-08-03 01:06,1.702
2014-08-03 01:12,1.605
2014-08-03 01:18,1.513
2014-08-03 01:24,1.426
2014-08-03 01:30,1.344
2014-08-03 01:36,1.267
2014-08-03 01:42,1.195
2014-08-03 01:48,1.129
2014-08-03 01:54,1.068
2014-08-03 02:00,1.014
2014-08-03 02:06,0.965
2014-08-03 02:12,0.923
2014-08-03 02:18,0.888
2014-08-03 02:24,0.860
2014-08-03 02:30,0.838
2014-08-03 02:36,0.824
2014-08-03 02:42,0.818
2014-08-03 02:48,0.819
2014-08-03 02:54,0.828
2014-08-03 03:00,0.845
2014-08-03 03:06,0.870
2014-08-03 03:12,0.903
2014-08-03 03:18,0.944
2014-08-03 03:24,0.993
2014-08-03 03:30,1.050
2014-08-03 03:36,1.115
2014-08-03 03:42,1.188
2014-08-03 03:48,1.269
2014-08-03 03:54,1.357
2014-08-03 04:00,1.452
2014-08-03 04:06,1.553
2014-08-03 04:12,1.662
2014-08-03 04:18,1.776
2014-08-03 04:24,1.895
2014-08-03 04:30,2.020
2014-08-03 04:36,2.150
2014-08-03 04:42,2.283
2014-08-03 04:48,2.420
2014-08-03 04:54,2.561
2014-08-03 05:00,2.704
2014-08-03 05:06,2.849
2014-08-03 05:12,2.995
2014-08-03 05:18,3.142
2014-08-03 05:24,3.290
2014-08-03 05:30,3.438
2014-08-03 05:36,3.586
2014-08-03 05:42,3.732
2014-08-03 05:48,3.878
2014-08-03 05:54,4.021
2014-08-03 06:00,4.163
2014-08-03 06:06,4.302
2014-08-03 06:12,4.438
2014-08-03 06:18,4.571
2014-08-03 06:24,4.701
2014-08-03 06:30,4.827
2014-08-03 06:36,4.950
2014-08-03 06:42,5.069
2014-08-03 06:48,5.183
2014-08-03 06:54,5.294
2014-08-03 07:00,5.400
2014-08-03 07:06,5.501
2014-08-03 07:12,5.598
2014-08-03 07:18,5.690
2014-08-03 07:24,5.776
2014-08-03 07:30,5.858
2014-08-03 07:36,5.934
2014-08-03 07:42,6.006
2014-08-03 07:48,6.071
2014-08-03 07:54,6.131
2014-08-03 08:00,6.185
2014-08-03 08:06,6.232
2014-08-03 08:12,6.274
2014-08-03 08:18,6.309
2014-08-03 08:24,6.338
